precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
tobacco stem,1173,KOH-2,2,3391,298,0.2,0.3,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.70
vine shoots,1073,CO2,0,767,273,0.15,1.89,0.374,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,1073,CO2,0,767,273,1,4.07,0.374,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-1,1,704,273,0.15,2.16,0.291,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-1,1,1101,273,0.15,2.42,0.541,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-2,2,1305,273,0.15,2.25,0.534,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-2,2,1671,273,0.15,2.25,0.67,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-1,1,704,273,1,4.16,0.291,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-1,1,1101,273,1,5.36,0.541,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,873,KOH-2,2,1305,273,1,6.04,0.534,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
vine shoots,973,KOH-2,2,1671,273,1,5.4,0.67,47.10,0.66,5.29,0.56,45.40,0.99,68.10,30.91,1.86,0.72,1.35,0.73
walnut shells,723,NaNH2-1.5,1.5,589,273,1,4.17,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,NaNH2-1.5,1.5,802,273,1,3.88,0.47,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-2.5,2.5,1687,273,1,5.22,0.94,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,NaNH2-2.5,2.5,1721,273,1,3.17,0.92,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-1.5,1.5,589,298,1,2.53,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,NaNH2-1.5,1.5,802,298,1,1.96,0.47,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-2.5,2.5,1687,298,1,3.06,0.94,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,NaNH2-2.5,2.5,1721,298,1,2.15,0.92,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-1.5,1.5,589,273,0.2,1.9,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-2.5,2.5,1687,273,0.2,1.75,0.94,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-1.5,1.5,589,298,0.2,1.4,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,723,NaNH2-2.5,2.5,1687,298,0.2,0.7,0.94,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,1273,KCl-ZnCl2-2,2,1389,273,1,8,0.68,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,1273,KCl-ZnCl2-3,3,2025,298,1,5.5,1.15,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
poplar wood sawdust,873,KOH-2,2,893,273,1,3.66,0.38,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,973,KOH-2,2,1339,273,1,2.83,0.68,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,1073,KOH-2,2,1587,273,1,3.45,1,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,1073,KOH-1,1,2153,273,1,4.93,1.13,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,873,KOH-2,2,893,273,0.15,1.24,0.38,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,973,KOH-2,2,1339,273,0.15,0.86,0.68,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,1073,KOH-2,2,1587,273,0.15,0.84,1,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,1073,KOH-1,1,2153,273,0.15,1.34,1.13,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,873,KOH-2,2,893,298,1,2.28,0.38,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,973,KOH-2,2,1339,298,1,1.77,0.68,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,1073,KOH-2,2,1587,298,1,2.06,1,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
poplar wood sawdust,1073,KOH-1,1,2153,298,1,2.86,1.13,42.77,0.73,6.12,0.08,48.38,1.92,84.59,13.49,2.02,0.85,1.72,0.86
chrysanthemum tea,1273,ZnCl2-1,1,1840,298,1,3.8,1.16,48.00,0.50,5.50,0.06,44.44,1.50,85.50,13.00,1.98,0.69,1.38,0.70
chrysanthemum tea,1273,ZnCl2-1,1,1840,298,0.8,3,1.16,48.00,0.50,5.50,0.06,44.44,1.50,85.50,13.00,1.98,0.69,1.38,0.70
chrysanthemum tea,1273,ZnCl2-1,1,1840,298,0.6,2.3,1.16,48.00,0.50,5.50,0.06,44.44,1.50,85.50,13.00,1.98,0.69,1.38,0.70
chrysanthemum tea,1273,ZnCl2-1,1,1840,298,0.4,1.25,1.16,48.00,0.50,5.50,0.06,44.44,1.50,85.50,13.00,1.98,0.69,1.38,0.70
chrysanthemum tea,1273,ZnCl2-1,1,1840,298,0.2,0.7,1.16,48.00,0.50,5.50,0.06,44.44,1.50,85.50,13.00,1.98,0.69,1.38,0.70
cork,773,KOH-3,3,1491,273,1,6.5,0.621,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,873,KOH-3,3,1885,273,1,7.14,0.781,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,273,1,7.82,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,1073,KOH-3,3,1909,273,1,6.07,0.915,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-1,1,984,273,1,5.28,0.428,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-2,2,1605,273,1,6.94,0.656,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-4,4,1949,273,1,7.66,0.836,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-5,5,2380,273,1,5.8,1.136,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-6,6,2379,273,1,5.59,1.29,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,773,KOH-3,3,1491,298,1,3.57,0.621,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,873,KOH-3,3,1885,298,1,3.84,0.781,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,298,1,4.27,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,1073,KOH-3,3,1909,298,1,3.42,0.915,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-1,1,984,298,1,3.46,0.428,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-2,2,1605,298,1,3.91,0.656,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-4,4,1949,298,1,3.88,0.836,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-5,5,2380,298,1,3.04,1.136,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-6,6,2379,298,1,2.66,1.29,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,273,0.8,6.8,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,273,0.6,5.8,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,273,0.4,4.4,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,273,0.2,2.6,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,298,0.8,3.5,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,298,0.6,2.9,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,298,0.4,2.2,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
cork,973,KOH-3,3,2010,298,0.2,1.2,0.82,58.55,1.32,7.23,0.00,28.58,4.33,76.80,18.88,4.05,0.37,1.48,0.39
spent coffee grounds,873,K2CO3-1,1,750,273,0.15,2.48,0.3,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,973,K2CO3-1,1,1476,273,0.15,2.47,0.61,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,1073,K2CO3-1,1,1692,273,0.15,1.74,1.15,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,873,K2CO3-1,1,750,273,1,4.88,0.3,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,973,K2CO3-1,1,1476,273,1,7.02,0.61,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,1073,K2CO3-1,1,1692,273,1,6.38,1.15,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,873,K2CO3-1,1,750,298,0.15,1.46,0.3,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,973,K2CO3-1,1,1476,298,0.15,1.3,0.61,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,1073,K2CO3-1,1,1692,298,0.15,0.92,1.15,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,873,K2CO3-1,1,750,298,1,3.65,0.3,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,973,K2CO3-1,1,1476,298,1,4.54,0.61,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,1073,K2CO3-1,1,1692,298,1,3.78,1.15,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,873,K2CO3-1,1,750,323,0.15,0.78,0.3,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,973,K2CO3-1,1,1476,323,0.15,0.67,0.61,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,1073,K2CO3-1,1,1692,323,0.15,0.47,1.15,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,873,K2CO3-1,1,750,323,1,2.34,0.3,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,973,K2CO3-1,1,1476,323,1,2.68,0.61,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
spent coffee grounds,1073,K2CO3-1,1,1692,323,1,2.1,1.15,54.78,3.32,6.93,0.04,33.63,1.30,82.90,15.80,3.30,0.46,1.52,0.51
garlic peel,873,KOH-2,2,947,273,1,6.25,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,973,KOH-2,2,1179,273,1,5.96,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,1073,KOH-2,2,1262,273,1,4.33,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-4,4,1116,273,1,4.6,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-2,2,947,298,1,4.22,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,973,KOH-2,2,1179,298,1,3.99,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,1073,KOH-2,2,1262,298,1,2.82,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-4,4,1116,298,1,2.84,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-2,2,947,273,0.2,2.7,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,973,KOH-2,2,1179,273,0.2,2.2,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,1073,KOH-2,2,1262,273,0.2,1.5,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-4,4,1116,273,0.2,1.6,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-2,2,947,298,0.2,1.7,0.51,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,973,KOH-2,2,1179,298,0.2,1.4,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,1073,KOH-2,2,1262,298,0.2,0.9,0.7,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
garlic peel,873,KOH-4,4,1116,298,0.2,1,0.63,37.01,1.04,4.22,0.81,46.58,10.34,68.54,21.12,1.45,0.94,1.37,0.97
pineapple,773,K2C2O4-2,2,422.8,273,1,2.71,0.82,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,Li2C2O4-2,2,302.7,273,1,2.09,0.49,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,K2C2O4-2,2,644.9,273,1,3.82,0.91,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,Na2C2O4-2,2,397.3,273,1,2.2,0.26,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,K2C2O4-2,2,1076.3,273,1,5.32,0.92,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,773,K2C2O4-2,2,422.8,293,1,2.22,0.82,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,Li2C2O4-2,2,302.7,293,1,1.59,0.49,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,K2C2O4-2,2,644.9,293,1,3.16,0.91,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,Na2C2O4-2,2,397.3,293,1,1.59,0.26,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,K2C2O4-2,2,1076.3,293,1,4.25,0.92,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,773,K2C2O4-2,2,422.8,273,0.2,1.6,0.82,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,Li2C2O4-2,2,302.7,273,0.2,1.2,0.49,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,K2C2O4-2,2,644.9,273,0.2,1.8,0.91,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,Na2C2O4-2,2,397.3,273,0.2,1.1,0.26,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,K2C2O4-2,2,1076.3,273,0.2,2.6,0.92,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,773,K2C2O4-2,2,422.8,293,0.2,1.1,0.82,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,Li2C2O4-2,2,302.7,293,0.2,0.8,0.49,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,K2C2O4-2,2,644.9,293,0.2,1.4,0.91,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,Na2C2O4-2,2,397.3,293,0.2,0.7,0.26,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,K2C2O4-2,2,1076.3,293,0.2,1.5,0.92,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,773,K2C2O4-2,2,422.8,273,0.6,1.6,0.82,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,Li2C2O4-2,2,302.7,273,0.6,1.1,0.49,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,K2C2O4-2,2,644.9,273,0.6,1.8,0.91,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,Na2C2O4-2,2,397.3,273,0.6,1.1,0.26,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,K2C2O4-2,2,1076.3,273,0.6,2.6,0.92,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,773,K2C2O4-2,2,422.8,293,0.6,1,0.82,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,Li2C2O4-2,2,302.7,293,0.6,0.8,0.49,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,873,K2C2O4-2,2,644.9,293,0.6,1.4,0.91,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,Na2C2O4-2,2,397.3,293,0.6,0.7,0.26,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
pineapple,973,K2C2O4-2,2,1076.3,293,0.6,1.5,0.92,47.39,1.08,6.13,0.00,40.31,5.09,73.97,20.94,2.43,0.64,1.55,0.66
coconut shell,873,KOH-1,1,718,273,1,4.63,0.28,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,873,KOH-2,2,1082,273,1,5.82,0.42,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,873,KOH-3,3,1172,273,1,6.04,0.44,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,923,KOH-1,1,885,273,1,5.01,0.35,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,923,KOH-2,2,1211,273,1,6.2,0.46,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,923,KOH-3,3,1513,273,1,4.95,0.58,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,973,KOH-1,1,878,273,1,4.98,0.33,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,973,KOH-2,2,1233,273,1,5.14,0.46,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,973,KOH-3,3,1817,273,1,5.89,0.69,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,873,KOH-1,1,718,293,1,3.56,0.28,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,873,KOH-2,2,1082,293,1,3.99,0.42,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,873,KOH-3,3,1172,293,1,4.23,0.44,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,923,KOH-1,1,885,293,1,3.83,0.35,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
