precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
coconut shell,923,KOH-2,2,1211,293,1,4.13,0.46,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,923,KOH-3,3,1513,293,1,3.69,0.58,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,973,KOH-1,1,878,293,1,3.83,0.33,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,973,KOH-2,2,1233,293,1,3.71,0.46,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
coconut shell,973,KOH-3,3,1817,293,1,3.97,0.69,45.28,0.20,4.05,0.00,50.04,0.43,80.84,18.73,1.29,0.83,1.07,0.83
paulownia sawdust,873,KOH-4,4,782,273,1,7.45,0.414,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,273,1,8,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,1073,KOH-4,4,1555,273,1,7.14,0.905,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,1173,KOH-4,4,1293,273,1,4.24,0.687,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-2,2,831,273,1,6.83,0.449,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-6,6,2435,273,1,4.73,1.181,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,273,0.15,1.1,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,273,0.4,4.6,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,273,0.6,6.1,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,273,0.8,7,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,273,0.9,7.5,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,298,0.15,0.4,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,298,0.4,2.2,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,298,0.6,3,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,298,0.8,4,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,298,0.9,4.3,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
paulownia sawdust,973,KOH-4,4,1643,298,1,4.5,0.857,45.33,0.40,6.22,0.00,46.96,1.09,79.32,19.60,2.12,0.78,1.65,0.78
walnut shells,773,CO2,0,810.85,293,0.15,0.14,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,0.4,0.41,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,0.5,0.58,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,0.65,0.62,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,0.8,0.84,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,1,1.2,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,1.2,1.38,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,293,1.3,1.47,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,0.15,0.12,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,0.4,0.37,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,0.5,0.43,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,0.65,0.59,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,0.8,0.77,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,1,1,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,1.2,1.19,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,303,1.3,1.22,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,0.15,0.09,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,0.4,0.27,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,0.5,0.37,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,0.65,0.46,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,0.8,0.56,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,1,0.77,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,1.2,0.75,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,313,1.3,0.95,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,0.15,0.07,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,0.4,0.22,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,0.5,0.3,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,0.65,0.32,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,0.8,0.44,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,1,0.64,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,1.2,0.76,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
walnut shells,773,CO2,0,810.85,323,1.3,0.79,0.34,53.50,1.50,6.60,0.10,35.50,2.80,59.30,37.90,2.97,0.50,1.48,0.52
peanut shells,973,KOH-1,1,956,273,1,5.1,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,273,0.9,4.9,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,273,0.8,4.7,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,273,0.6,4.2,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,273,0.4,3.8,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,273,0.2,2.8,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,1,4,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,0.9,3.8,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,0.8,3.6,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,0.6,3.1,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,0.5,2.8,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,273,0.4,2.6,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,0.2,1.8,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shells,973,KOH-1,1,956,298,0.15,1.54,0.43,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
sunflower seed shells,973,KOH-1.25,1.25,1790,273,1,7,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,273,0.9,6.6,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,273,0.8,6.2,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,273,0.6,5.5,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,273,0.4,4.5,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,273,0.2,3.2,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,1,4.5,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,0.9,4.2,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,0.8,4,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,0.6,3.4,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,273,0.5,3.1,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,0.4,2.7,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,0.2,1.7,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
sunflower seed shells,973,KOH-1.25,1.25,1790,298,0.15,1.46,0.77,47.40,1.40,5.80,0.05,41.35,4.00,76.20,19.80,2.24,0.65,1.47,0.68
acai stones,1123,KOH-1,1,1356,298,1,4.5,0.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-1,1,1356,298,0.15,1.4,0.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-1,1,1356,298,0.6,3.5,0.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-3,3,2612,298,1,4.8,1.2,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-3,3,2612,298,0.15,1,1.2,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-3,3,2612,298,0.6,3,1.2,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-5,5,3244,298,1,3.1,1.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-5,5,3244,298,0.15,0.6,1.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-5,5,3244,298,0.6,1.8,1.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-1,1,1356,273,1,5.8,0.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-1,1,1356,273,0.15,2.3,0.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-1,1,1356,273,0.6,4.7,0.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-3,3,2612,273,1,6.4,1.2,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-3,3,2612,273,0.15,1.4,1.2,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-3,3,2612,273,0.6,4.3,1.2,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-5,5,3244,273,1,5.5,1.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-5,5,3244,273,0.15,1,1.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,KOH-5,5,3244,273,0.6,3.5,1.6,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,CO2,0,1150,298,1,3.3,0.58,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,CO2,0,1150,298,0.15,1,0.58,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
acai stones,1123,CO2,0,1150,298,0.6,2.5,0.58,43.25,1.29,5.97,0.10,47.54,1.84,72.42,25.73,2.01,0.82,1.66,0.85
sugarcane bagasse,1123,CO2,0,622,298,1,2.5,0.38,44.80,0.40,5.40,0.01,38.09,11.30,73.70,15.00,2.27,0.64,1.45,0.65
sugarcane bagasse,1123,CO2,0,622,298,0.8,2.4,0.38,44.80,0.40,5.40,0.01,38.09,11.30,73.70,15.00,2.27,0.64,1.45,0.65
sugarcane bagasse,1123,CO2,0,622,298,0.6,2.2,0.38,44.80,0.40,5.40,0.01,38.09,11.30,73.70,15.00,2.27,0.64,1.45,0.65
sugarcane bagasse,1123,CO2,0,622,298,0.4,1.9,0.38,44.80,0.40,5.40,0.01,38.09,11.30,73.70,15.00,2.27,0.64,1.45,0.65
sugarcane bagasse,1123,CO2,0,622,298,0.2,1.4,0.38,44.80,0.40,5.40,0.01,38.09,11.30,73.70,15.00,2.27,0.64,1.45,0.65
sugarcane bagasse,1123,CO2,0,622,298,0.1,1.1,0.38,44.80,0.40,5.40,0.01,38.09,11.30,73.70,15.00,2.27,0.64,1.45,0.65
tea seed shell,973,KOH-4,4,1442.19,298,1,3.15,0.47,47.66,0.46,5.95,0.39,43.17,2.37,75.56,22.07,2.22,0.68,1.50,0.68
tea seed shell,973,KOH-4,4,1442.19,298,0.8,2.8,0.47,47.66,0.46,5.95,0.39,43.17,2.37,75.56,22.07,2.22,0.68,1.50,0.68
tea seed shell,973,KOH-4,4,1442.19,298,0.6,2.3,0.47,47.66,0.46,5.95,0.39,43.17,2.37,75.56,22.07,2.22,0.68,1.50,0.68
tea seed shell,973,KOH-4,4,1442.19,298,0.4,1.4,0.47,47.66,0.46,5.95,0.39,43.17,2.37,75.56,22.07,2.22,0.68,1.50,0.68
tea seed shell,973,KOH-4,4,1442.19,298,0.2,1.1,0.47,47.66,0.46,5.95,0.39,43.17,2.37,75.56,22.07,2.22,0.68,1.50,0.68
tea seed shell,973,KOH-4,4,1442.19,298,0.1,0.8,0.47,47.66,0.46,5.95,0.39,43.17,2.37,75.56,22.07,2.22,0.68,1.50,0.68
spent coffee grounds,873,KOH-1,1,831,298,1,2.8,0.41,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-2,2,876,298,1,3,0.4,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-3,3,840,298,1,3,0.37,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-4,4,925,298,1,2.9,0.42,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,973,KOH-3,3,1082,298,1,2.7,0.51,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-1,1,831,273,1,4.9,0.41,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-2,2,876,273,1,4.4,0.4,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-3,3,840,273,1,4.7,0.37,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-4,4,925,273,1,4.5,0.42,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,973,KOH-3,3,1082,273,1,3.2,0.51,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,873,KOH-3,3,840,323,1,1.8,0.37,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,973,CO2,0,590,298,1,2.4,0.28,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,973,CO2,0,590,273,1,3.6,0.28,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,973,CO2,0,590,323,1,1.3,0.28,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
olive stones,1123,KOH-7,7,1345,273,1,5.6,0.574,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1173,K2CO3-1,1,1134,273,1,3.8,0.364,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
spent coffee grounds,1073,CO2,0,801,273,1,4.3,0.34,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,1073,CO2,0,801,273,0.6,3.6,0.34,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,1073,CO2,0,801,273,0.2,2.3,0.34,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,1073,CO2,0,801,273,0.1,1.6,0.34,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
spent coffee grounds,1073,CO2,0,801,323,0.1,0.68,0.34,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
olive stones,1073,CO2,0,1248,298,0.15,0.99,0.53,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
spent coffee grounds,973,CO2,0,534,298,0.15,1.11,0.27,56.40,2.60,7.00,0.00,32.70,1.30,82.90,15.80,3.43,0.43,1.49,0.47
almond shells,1023,CO2,0,847,298,0.15,0.98,0.36,50.73,0.30,6.02,0.59,41.06,1.30,82.30,16.40,2.35,0.61,1.42,0.61
grape seeds,1073,CO2,0,362,298,1,2.68,0.14,51.43,2.10,6.30,0.10,35.49,4.59,69.48,25.93,2.84,0.52,1.47,0.55
grape bagasse,1073,CO2,0,473,298,1,2.23,0.2,44.26,1.59,5.94,0.00,43.21,5.01,72.94,22.05,2.20,0.73,1.61,0.76
grape seeds,1073,KOH-2,2,2029,298,1,3.59,0.85,51.43,2.10,6.30,0.10,35.49,4.59,69.48,25.93,2.84,0.52,1.47,0.55
grape bagasse,1073,KOH-2,2,1737,298,1,3.50,0.75,44.26,1.59,5.94,0.00,43.21,5.01,72.94,22.05,2.20,0.73,1.61,0.76
grape stalks,1073,KOH-2,2,1731,298,1,2.43,0.73,37.96,1.08,4.49,0.15,47.62,8.70,67.88,23.42,1.51,0.94,1.42,0.97
