BIOMASS,BIOMASS_SR,SA,SBR,HHVbiom (MJ/kg),T (K),SR,He_density (g/cm3),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),R_900,Bulk_density (kg/m3),volCO2 (%),volCO (%),volCH4 (%),volH2 (%),volCOMB (%),volSYNG (%),H2_CO,molCO2/mol biom,molCO/mol biom,molCH4/mol biom,molH2/mol biom,molSYNG/mol biom,molCOMB/mol biom,HHV (MJ/m3),CGE (%),Edensity (MJ/kg biom),GAS (m3/kg biom),Na2O (%),MgO (%),Al2O3 (%),SiO2 (%),P2O5 (%),K2O (%),CaO (%),TiO2 (%),Fe2O3 (%),SO3 (%),MnO (%),Si+P,Si+P+Al,Si+P+Al+Ca,Si+Ca,K/Si+P,K/P,K/Si+P+Ca,Na+Mg+K/Al+Si+P+Ca,Mg+Na+K/Si+P+Ca,K+Na+Mg+Ca/Si+P+Al,strat
AS,AS_0.13,2.33,0.84,19.5649,1173,0.13,1.252,49.44,0.31,5.85,0.05,42.9,1.45,78.93,19.62,2.1818,0.5517,8.6963,1.1825,0.0003,655.0,29.4761,26.5622,9.6071,34.3547,70.5239,60.9169,1.2934,1.2735,1.1477,0.4151,1.4843,2.632,3.0471,10.7627,53.2396,10.4163,0.9678,0.76,2.6,17.4,7.01,3.22,36.7,12.3,0.13,1.75,0.69,0.1,10.23,27.63,39.93,19.31,3.5875,11.3975,1.6289,1.0033,1.7781,1.895,False
CHE,CHE_0.13,2.33,0.84,19.1086,1173,0.13,1.268,50.22,0.34,5.55,0.01,43.41,0.47,81.22,18.31,2.0456,0.3404,8.5516,0.4107,0.0003,296.0,31.0826,26.4786,9.6049,32.834,68.9174,59.3125,1.24,1.0222,0.8707,0.3159,1.0797,1.9505,2.2663,10.5713,40.7518,7.7871,0.7366,0.555,5.945,3.39,17.55,3.07,7.375,55.345,0.275,2.19,1.84,0.0,20.62,24.01,79.355,72.895,0.3577,2.4023,0.0971,0.1748,0.1826,2.883,False
CHET,CHET_0.13,2.33,0.86,19.588,1173,0.13,1.275,51.3,0.4,5.4,0.02,42.6,0.3,80.0,19.7,2.0282,1.0667,8.52,0.2437,,374.0,33.9162,24.4122,8.4228,33.2488,66.0838,57.661,1.362,0.9929,0.7147,0.2466,0.9734,1.6881,1.9347,9.94,33.278,6.5185,0.6558,0.555,5.945,3.39,17.55,3.07,7.375,55.345,0.275,2.19,1.84,0.0,20.62,24.01,79.355,72.895,0.3577,2.4023,0.0971,0.1748,0.1826,2.883,False
CS,CS_0.13,2.33,0.83,19.0667,1173,0.13,1.156,47.96,2.74,5.93,0.21,35.26,7.9,70.43,21.67,2.6909,0.4253,8.0102,5.8329,0.0028,490.0,36.756,14.7516,6.7984,41.6941,63.244,56.4456,2.8264,1.0961,0.4399,0.2027,1.2433,1.6832,1.886,9.2059,32.2516,6.1493,0.668,0.0,8.79,2.05,16.6,16.5,45.09,6.26,0.22,1.16,1.98,0.1,33.1,35.15,41.41,22.86,1.3622,2.7327,1.1456,1.3011,1.3689,1.711,False
GP,GP_0.13,2.33,0.71,18.6815,1173,0.13,1.21,45.5,1.82,5.05,0.17,34.73,12.73,67.59,19.68,2.3265,0.2137,8.2213,10.3496,0.001,772.0,31.2862,22.9423,9.8008,35.9707,68.7138,58.913,1.5679,1.1454,0.84,0.3588,1.3169,2.1569,2.5157,10.6007,46.5359,8.6936,0.8201,3.39,3.43,6.48,29.8,4.35,31.91,10.75,0.31,3.03,1.51,0.1,34.15,40.63,51.38,40.55,0.9344,7.3356,0.7107,0.7538,0.8626,1.2178,False
OS,OS_0.13,2.33,0.89,20.5111,1173,0.13,1.241,51.21,0.29,6.01,0.03,41.88,0.58,81.49,17.93,2.2961,0.8276,8.2228,0.5176,0.0005,781.0,22.8471,34.0266,12.0559,31.0704,77.1529,65.097,0.9131,1.3515,2.0128,0.7132,1.838,3.8508,4.564,12.1569,78.5365,16.1087,1.3251,1.15,2.89,1.1,4.93,4.02,37.93,19.0,0.075,1.57,1.69,0.1,8.95,10.05,29.05,23.93,4.238,9.4353,1.3571,1.4448,1.5016,6.0667,True
PCL,PCL_0.13,2.33,0.93,20.9759,1173,0.13,1.237,52.89,0.44,6.06,0.03,39.46,1.12,76.52,22.36,2.4572,0.4286,8.2509,0.8014,0.0006,407.0,24.5108,32.1336,9.5876,33.7679,75.4892,65.9016,1.0509,1.1321,1.4842,0.4428,1.5597,3.0438,3.4866,11.3409,55.9371,11.7333,1.0346,1.7912,8.7639,3.6837,19.7036,6.0416,34.4384,8.2782,0.0506,0.6173,0.03,0.2,25.7453,29.429,37.7071,27.9818,1.3377,5.7002,1.0122,1.1932,1.3224,1.8102,False
PIN,PIN_0.13,2.33,0.89,19.904,1173,0.13,1.241,51.0,0.3,6.0,0.02,42.3,0.4,85.1,14.5,2.2695,0.8,7.953,0.4414,,226.0,16.68,39.0941,11.7841,32.4417,83.32,71.5358,0.8298,0.9133,2.1407,0.6453,1.7764,3.9171,4.5623,12.8151,78.9714,15.7185,1.2266,1.7912,8.7639,3.6837,19.7036,6.0416,34.4384,8.2782,0.0506,0.6173,0.03,0.0,25.7453,29.429,37.7071,27.9818,1.3377,5.7002,1.0122,1.1932,1.3224,1.8102,True
PINT,PINT_0.13,2.33,0.94,21.568,1173,0.13,1.257,54.5,0.4,5.7,0.02,39.0,0.4,78.6,21.0,2.3385,0.8,7.9389,0.3048,0.0008,265.0,21.9651,32.8991,9.0609,36.0748,78.0349,68.974,1.0965,1.1638,1.7432,0.4801,1.9115,3.6547,4.1348,11.5101,63.3402,13.6612,1.1869,1.15,11.05,2.985,19.65,3.69,16.25,36.69,0.205,3.175,2.935,0.0,23.34,26.325,63.015,56.34,0.6962,4.4038,0.2707,0.4515,0.4739,2.4745,False
PKS,PKS_0.13,2.33,0.93,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,20.7474,34.1352,9.61,35.5075,79.2526,69.6426,1.0402,1.2017,1.9771,0.5566,2.0565,4.0336,4.5902,11.7913,73.6654,15.2977,1.2974,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
AS,AS_0.25,2.33,1.68,19.5649,1173,0.25,1.252,49.44,0.31,5.85,0.05,42.9,1.45,78.93,19.62,2.1818,0.5517,8.6963,1.1825,0.0003,655.0,40.236,19.0279,7.525,33.2111,59.764,52.2389,1.7454,1.6286,0.7702,0.3046,1.3442,2.1144,2.419,8.9699,41.5669,8.1325,0.9066,0.76,2.6,17.4,7.01,3.22,36.7,12.3,0.13,1.75,0.69,0.1,10.23,27.63,39.93,19.31,3.5875,11.3975,1.6289,1.0033,1.7781,1.895,False
CHE,CHE_0.25,2.33,1.68,19.1086,1173,0.25,1.268,50.22,0.34,5.55,0.01,43.41,0.47,81.22,18.31,2.0456,0.3404,8.5516,0.4107,0.0003,296.0,35.8767,25.6545,8.8999,29.5689,64.1233,55.2234,1.1526,1.3241,0.9469,0.3285,1.0913,2.0382,2.3667,9.8255,42.5106,8.1232,0.8267,0.555,5.945,3.39,17.55,3.07,7.375,55.345,0.275,2.19,1.84,0.0,20.62,24.01,79.355,72.895,0.3577,2.4023,0.0971,0.1748,0.1826,2.883,False
CHET,CHET_0.25,2.33,1.71,19.588,1173,0.25,1.275,51.3,0.4,5.4,0.02,42.6,0.3,80.0,19.7,2.0282,1.0667,8.52,0.2437,,374.0,37.7504,21.5559,8.1037,32.59,62.2496,54.1459,1.5119,1.6712,0.9543,0.3588,1.4428,2.3971,2.7558,9.4076,47.6267,9.3291,0.9917,0.555,5.945,3.39,17.55,3.07,7.375,55.345,0.275,2.19,1.84,0.0,20.62,24.01,79.355,72.895,0.3577,2.4023,0.0971,0.1748,0.1826,2.883,False
CS,CS_0.25,2.33,1.65,19.0667,1173,0.25,1.156,47.96,2.74,5.93,0.21,35.26,7.9,70.43,21.67,2.6909,0.4253,8.0102,5.8329,0.0028,490.0,40.6573,14.1092,6.7011,38.5324,59.3427,52.6416,2.731,1.7568,0.6097,0.2896,1.665,2.2747,2.5642,8.7187,44.2598,8.4389,0.9679,0.0,8.79,2.05,16.6,16.5,45.09,6.26,0.22,1.16,1.98,0.1,33.1,35.15,41.41,22.86,1.3622,2.7327,1.1456,1.3011,1.3689,1.711,False
GP,GP_0.25,2.33,1.43,18.6815,1173,0.25,1.21,45.5,1.82,5.05,0.17,34.73,12.73,67.59,19.68,2.3265,0.2137,8.2213,10.3496,0.001,772.0,38.8974,18.1009,7.8658,35.1358,61.1026,53.2367,1.9411,1.4557,0.6774,0.2944,1.3149,1.9923,2.2867,9.2158,41.3534,7.7254,0.8383,3.39,3.43,6.48,29.8,4.35,31.91,10.75,0.31,3.03,1.51,0.1,34.15,40.63,51.38,40.55,0.9344,7.3356,0.7107,0.7538,0.8626,1.2178,False
OS,OS_0.25,2.33,1.77,20.5111,1173,0.25,1.241,51.21,0.29,6.01,0.03,41.88,0.58,81.49,17.93,2.2961,0.8276,8.2228,0.5176,0.0005,781.0,25.7682,31.8943,11.1588,31.1787,74.2318,63.073,0.9776,1.6741,2.0722,0.725,2.0257,4.0978,4.8228,11.5869,82.2118,16.8626,1.4553,1.15,2.89,1.1,4.93,4.02,37.93,19.0,0.075,1.57,1.69,0.1,8.95,10.05,29.05,23.93,4.238,9.4353,1.3571,1.4448,1.5016,6.0667,False
PCL,PCL_0.25,2.33,1.86,20.9759,1173,0.25,1.237,52.89,0.44,6.06,0.03,39.46,1.12,76.52,22.36,2.4572,0.4286,8.2509,0.8014,0.0006,407.0,27.3437,29.3744,8.4164,34.8655,72.6563,64.2399,1.1869,1.5716,1.6883,0.4837,2.0039,3.6922,4.176,10.7132,65.7553,13.7927,1.2874,1.7912,8.7639,3.6837,19.7036,6.0416,34.4384,8.2782,0.0506,0.6173,0.03,0.2,25.7453,29.429,37.7071,27.9818,1.3377,5.7002,1.0122,1.1932,1.3224,1.8102,False
PIN,PIN_0.25,2.33,1.19,19.904,1173,0.25,1.241,51.0,0.3,6.0,0.02,42.3,0.4,85.1,14.5,2.2695,0.8,7.953,0.4414,,226.0,21.9885,35.8142,9.9304,32.2669,78.0115,68.0811,0.901,1.2967,2.112,0.5856,1.9028,4.0148,4.6004,11.7223,77.7955,15.4844,1.3209,1.7912,8.7639,3.6837,19.7036,6.0416,34.4384,8.2782,0.0506,0.6173,0.03,0.0,25.7453,29.429,37.7071,27.9818,1.3377,5.7002,1.0122,1.1932,1.3224,1.8102,True
PINT,PINT_0.25,2.33,1.89,21.568,1173,0.25,1.257,54.5,0.4,5.7,0.02,39.0,0.4,78.6,21.0,2.3385,0.8,7.9389,0.3048,0.0008,265.0,24.0813,32.721,8.8406,34.3571,75.9187,67.0781,1.05,1.7044,2.3159,0.6257,2.4317,4.7477,5.3734,11.2034,82.355,17.7623,1.5854,1.15,11.05,2.985,19.65,3.69,16.25,36.69,0.205,3.175,2.935,0.0,23.34,26.325,63.015,56.34,0.6962,4.4038,0.2707,0.4515,0.4739,2.4745,False
PKS,PKS_0.25,2.33,1.39,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.5999,33.8791,9.0599,33.4611,76.4001,67.3402,0.9877,1.5466,2.2203,0.5937,2.1929,4.4131,5.0069,11.3144,79.9812,16.6093,1.468,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,2.33,0.93,20.7665,973,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,27.7776,38.7243,11.4872,22.0109,72.2224,60.7352,0.5684,0.9343,1.3025,0.3864,0.7404,2.0429,2.4293,11.4223,41.4419,8.6061,0.7534,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,2.33,0.93,20.7665,1073,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.433,37.1422,10.7526,28.6722,76.567,65.8144,0.772,0.9752,1.5458,0.4475,1.1933,2.739,3.1865,11.7558,52.7733,10.9592,0.9322,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,0.11,0.04,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.5188,37.4261,10.6126,28.4425,76.4812,65.8685,0.76,0.9092,1.4469,0.4103,1.0996,2.5465,2.9567,11.7101,48.8316,10.1406,0.866,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,0.33,0.13,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,21.8692,37.6304,10.781,29.7194,78.1308,67.3498,0.7898,0.8846,1.5221,0.4361,1.2021,2.7242,3.1602,11.9482,52.1293,10.8254,0.906,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,1.0,0.4,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,21.022,34.9558,9.2377,34.7844,78.978,69.7403,0.9951,1.1362,1.8893,0.4993,1.88,3.7693,4.2686,11.6641,68.0008,14.1214,1.2107,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,2.33,1.86,20.7665,973,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,31.6295,36.2086,10.2107,21.9512,68.3705,58.1598,0.6062,1.3259,1.5179,0.428,0.9202,2.4381,2.8661,10.6468,48.1425,9.9975,0.939,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,2.33,1.39,20.7665,1073,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,26.2227,35.8339,10.3586,27.5849,73.7773,63.4187,0.7698,1.415,1.9336,0.559,1.4885,3.4221,3.9811,11.3268,65.9282,13.691,1.2087,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,0.11,0.09,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,27.2993,35.4613,9.414,27.8254,72.7007,63.2867,0.7847,1.2513,1.6254,0.4315,1.2754,2.9009,3.3324,10.9619,54.1985,11.2551,1.0267,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,0.33,0.26,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.9842,36.7494,10.1746,29.0918,76.0158,65.8412,0.7916,1.3099,2.0071,0.5557,1.5889,3.596,4.1517,11.5455,68.0171,14.1248,1.2234,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,1.0,0.6,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.0386,34.4515,9.6393,32.8705,76.9614,67.322,0.9541,1.4102,2.1088,0.59,2.012,4.1209,4.7109,11.526,76.1019,15.8037,1.3711,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
